iteracao,index,views,tabelas_temporarias,operacao,variacao,tempo
3,gist,0,0,dist_max_api,0,"78,75059843"
4,gist,0,0,dist_max_api,0,"78,5329771"
5,gist,0,0,dist_max_api,0,"77,76907587"
6,gist,0,0,dist_max_api,0,"77,15999603"
7,gist,0,0,dist_max_api,0,"77,98320317"
8,gist,0,0,dist_max_api,0,"78,91102529"
9,gist,0,0,dist_max_api,0,"79,58135557"
10,gist,0,0,dist_max_api,0,"77,58546567"
11,gist,0,0,dist_max_api,0,"79,95157957"
12,gist,0,0,dist_max_api,0,"78,09502316"
13,gist,0,0,dist_max_api,0,"78,36500144"
14,gist,0,0,dist_max_api,0,"78,06377721"
15,gist,0,0,dist_max_api,0,"79,15181065"
16,gist,0,0,dist_max_api,0,"79,29821134"
17,gist,0,0,dist_max_api,0,"77,28016806"
18,gist,0,0,dist_max_api,0,"77,35251045"
19,gist,0,0,dist_max_api,0,"79,33802867"
20,gist,0,0,dist_max_api,0,"77,95047927"
21,gist,0,0,dist_max_api,0,"78,24720263"
22,gist,0,0,dist_max_api,0,"77,771837"
23,gist,0,0,dist_max_api,0,"79,14671707"
24,gist,0,0,dist_max_api,0,"77,57217503"
25,gist,0,0,dist_max_api,0,"78,26055503"
26,gist,0,0,dist_max_api,0,"77,53988051"
27,gist,0,0,dist_max_api,0,"78,713902"
28,gist,0,0,dist_max_api,0,"77,62412763"
29,gist,0,0,dist_max_api,0,"76,91075826"
0,gist,0,0,dist_pt_med,0,"76,04188681"
1,gist,0,0,dist_pt_med,0,"74,59380054"
2,gist,0,0,dist_pt_med,0,"77,60639119"
3,gist,0,0,dist_pt_med,0,"74,2901814"
4,gist,0,0,dist_pt_med,0,"77,04521418"
5,gist,0,0,dist_pt_med,0,"77,23715854"
6,gist,0,0,dist_pt_med,0,"78,07545114"
7,gist,0,0,dist_pt_med,0,"74,45782113"
8,gist,0,0,dist_pt_med,0,"74,84705973"
9,gist,0,0,dist_pt_med,0,"76,3930676"
10,gist,0,0,dist_pt_med,0,"75,76769066"
11,gist,0,0,dist_pt_med,0,"76,60893226"
12,gist,0,0,dist_pt_med,0,"74,45118403"
13,gist,0,0,dist_pt_med,0,"76,56918335"
14,gist,0,0,dist_pt_med,0,"76,09191966"
15,gist,0,0,dist_pt_med,0,"76,82432008"
16,gist,0,0,dist_pt_med,0,"75,44994283"
17,gist,0,0,dist_pt_med,0,"74,60373569"
18,gist,0,0,dist_pt_med,0,"76,16705513"
19,gist,0,0,dist_pt_med,0,"75,56039381"
20,gist,0,0,dist_pt_med,0,"76,22302294"
21,gist,0,0,dist_pt_med,0,"74,38899755"
22,gist,0,0,dist_pt_med,0,"74,36563325"
23,gist,0,0,dist_pt_med,0,"75,73213148"
24,gist,0,0,dist_pt_med,0,"76,2564199"
25,gist,0,0,dist_pt_med,0,"75,74690509"
26,gist,0,0,dist_pt_med,0,"74,75353217"
27,gist,0,0,dist_pt_med,0,"77,48908663"
28,gist,0,0,dist_pt_med,0,"76,62323403"
29,gist,0,0,dist_pt_med,0,"76,09208226"
0,gist,0,0,pertinencia,ST_contains,"24,23026848"
1,gist,0,0,pertinencia,ST_contains,"24,30544686"
2,gist,0,0,pertinencia,ST_contains,"24,38042879"
3,gist,0,0,pertinencia,ST_contains,"24,45102572"
4,gist,0,0,pertinencia,ST_contains,"24,39828944"
5,gist,0,0,pertinencia,ST_contains,"24,5889585"
6,gist,0,0,pertinencia,ST_contains,"24,4028275"
7,gist,0,0,pertinencia,ST_contains,"24,26830816"
8,gist,0,0,pertinencia,ST_contains,"24,89426494"
9,gist,0,0,pertinencia,ST_contains,"24,51402521"
10,gist,0,0,pertinencia,ST_contains,"24,44631624"
11,gist,0,0,pertinencia,ST_contains,"24,4486444"
12,gist,0,0,pertinencia,ST_contains,"24,29051876"
13,gist,0,0,pertinencia,ST_contains,"24,42174864"
14,gist,0,0,pertinencia,ST_contains,"24,36799645"
15,gist,0,0,pertinencia,ST_contains,"24,30318618"
16,gist,0,0,pertinencia,ST_contains,"24,33909202"
17,gist,0,0,pertinencia,ST_contains,"24,21458912"
18,gist,0,0,pertinencia,ST_contains,"24,48387527"
19,gist,0,0,pertinencia,ST_contains,"24,32953763"
20,gist,0,0,pertinencia,ST_contains,"24,48438883"
21,gist,0,0,pertinencia,ST_contains,"24,38029552"
22,gist,0,0,pertinencia,ST_contains,"24,41535878"
23,gist,0,0,pertinencia,ST_contains,"24,31110311"
24,gist,0,0,pertinencia,ST_contains,"24,59792352"
25,gist,0,0,pertinencia,ST_contains,"24,27285767"
26,gist,0,0,pertinencia,ST_contains,"24,37572384"
27,gist,0,0,pertinencia,ST_contains,"24,57041216"
28,gist,0,0,pertinencia,ST_contains,"24,52084613"
29,gist,0,0,pertinencia,ST_contains,"24,37707472"
0,gist,0,0,pertinencia,ST_coveredby,"24,21110582"
1,gist,0,0,pertinencia,ST_coveredby,"25,03306818"
2,gist,0,0,pertinencia,ST_coveredby,"26,38576579"
3,gist,0,0,pertinencia,ST_coveredby,"24,39097714"
4,gist,0,0,pertinencia,ST_coveredby,"24,37662172"
5,gist,0,0,pertinencia,ST_coveredby,"24,32799768"
6,gist,0,0,pertinencia,ST_coveredby,"24,49818444"
7,gist,0,0,pertinencia,ST_coveredby,"24,78084731"
8,gist,0,0,pertinencia,ST_coveredby,"24,3363235"
9,gist,0,0,pertinencia,ST_coveredby,"24,3756597"
10,gist,0,0,pertinencia,ST_coveredby,"24,33298588"
11,gist,0,0,pertinencia,ST_coveredby,"24,47751021"
12,gist,0,0,pertinencia,ST_coveredby,"24,7175374"
13,gist,0,0,pertinencia,ST_coveredby,"24,10474467"
14,gist,0,0,pertinencia,ST_coveredby,"24,32943773"
15,gist,0,0,pertinencia,ST_coveredby,"24,44457412"
16,gist,0,0,pertinencia,ST_coveredby,"24,63632679"
17,gist,0,0,pertinencia,ST_coveredby,"24,14426923"
18,gist,0,0,pertinencia,ST_coveredby,"24,43392611"
19,gist,0,0,pertinencia,ST_coveredby,"24,32631159"
20,gist,0,0,pertinencia,ST_coveredby,"24,37883925"
21,gist,0,0,pertinencia,ST_coveredby,"24,39441848"
22,gist,0,0,pertinencia,ST_coveredby,"24,25795388"
23,gist,0,0,pertinencia,ST_coveredby,"24,1497829"
24,gist,0,0,pertinencia,ST_coveredby,"24,30611634"
25,gist,0,0,pertinencia,ST_coveredby,"24,73133469"
26,gist,0,0,pertinencia,ST_coveredby,"24,41570449"
27,gist,0,0,pertinencia,ST_coveredby,"24,39179134"
28,gist,0,0,pertinencia,ST_coveredby,"24,40450168"
29,gist,0,0,pertinencia,ST_coveredby,"24,23868442"
0,gist,0,0,pertinencia,ST_disjoint,"98,45022655"
1,gist,0,0,pertinencia,ST_disjoint,"98,92185593"
2,gist,0,0,pertinencia,ST_disjoint,"99,75175214"
3,gist,0,0,pertinencia,ST_disjoint,"98,35973978"
4,gist,0,0,pertinencia,ST_disjoint,"98,55160737"
5,gist,0,0,pertinencia,ST_disjoint,"98,04246426"
6,gist,0,0,pertinencia,ST_disjoint,"98,76830626"
7,gist,0,0,pertinencia,ST_disjoint,"98,37894201"
8,gist,0,0,pertinencia,ST_disjoint,"99,39375734"
9,gist,0,0,pertinencia,ST_disjoint,"98,78132796"
10,gist,0,0,pertinencia,ST_disjoint,"98,60020256"
11,gist,0,0,pertinencia,ST_disjoint,"98,82261682"
12,gist,0,0,pertinencia,ST_disjoint,"98,56134391"
13,gist,0,0,pertinencia,ST_disjoint,"98,39513707"
14,gist,0,0,pertinencia,ST_disjoint,"98,55119991"
15,gist,0,0,pertinencia,ST_disjoint,"98,07364893"
16,gist,0,0,pertinencia,ST_disjoint,"97,97005129"
17,gist,0,0,pertinencia,ST_disjoint,"99,86575985"
18,gist,0,0,pertinencia,ST_disjoint,"99,61562872"
19,gist,0,0,pertinencia,ST_disjoint,"98,22477818"
20,gist,0,0,pertinencia,ST_disjoint,"96,13567352"
21,gist,0,0,pertinencia,ST_disjoint,"98,50217938"
22,gist,0,0,pertinencia,ST_disjoint,"98,2148962"
23,gist,0,0,pertinencia,ST_disjoint,"98,95154381"
24,gist,0,0,pertinencia,ST_disjoint,"100,8457117"
25,gist,0,0,pertinencia,ST_disjoint,"95,87134433"
26,gist,0,0,pertinencia,ST_disjoint,"98,33968091"
27,gist,0,0,pertinencia,ST_disjoint,"98,54552102"
28,gist,0,0,pertinencia,ST_disjoint,"98,18016386"
29,gist,0,0,pertinencia,ST_disjoint,"98,74713969"
0,gist,0,0,pertinencia,ST_intersects,"24,32434964"
1,gist,0,0,pertinencia,ST_intersects,"24,36185169"
2,gist,0,0,pertinencia,ST_intersects,"24,27797699"
3,gist,0,0,pertinencia,ST_intersects,"24,36782432"
4,gist,0,0,pertinencia,ST_intersects,"23,68723583"
5,gist,0,0,pertinencia,ST_intersects,"24,36562943"
6,gist,0,0,pertinencia,ST_intersects,"24,36588526"
7,gist,0,0,pertinencia,ST_intersects,"24,27769852"
8,gist,0,0,pertinencia,ST_intersects,"24,28630733"
9,gist,0,0,pertinencia,ST_intersects,"24,33767676"
10,gist,0,0,pertinencia,ST_intersects,"24,27744055"
11,gist,0,0,pertinencia,ST_intersects,"24,27809191"
12,gist,0,0,pertinencia,ST_intersects,"24,31369066"
13,gist,0,0,pertinencia,ST_intersects,"24,31625938"
14,gist,0,0,pertinencia,ST_intersects,"24,70347714"
15,gist,0,0,pertinencia,ST_intersects,"24,27158117"
16,gist,0,0,pertinencia,ST_intersects,"24,18371296"
17,gist,0,0,pertinencia,ST_intersects,"24,23914289"
18,gist,0,0,pertinencia,ST_intersects,"24,29784226"
19,gist,0,0,pertinencia,ST_intersects,"24,32267785"
20,gist,0,0,pertinencia,ST_intersects,"24,40792274"
21,gist,0,0,pertinencia,ST_intersects,"24,43212605"
22,gist,0,0,pertinencia,ST_intersects,"24,30664039"
23,gist,0,0,pertinencia,ST_intersects,"24,32342434"
24,gist,0,0,pertinencia,ST_intersects,"24,42442155"
25,gist,0,0,pertinencia,ST_intersects,"24,35017443"
26,gist,0,0,pertinencia,ST_intersects,"24,12118864"
27,gist,0,0,pertinencia,ST_intersects,"24,4011054"
28,gist,0,0,pertinencia,ST_intersects,"23,7351315"
29,gist,0,0,pertinencia,ST_intersects,"24,71016002"
0,gist,0,0,pertinencia,ST_within,"24,68937945"
1,gist,0,0,pertinencia,ST_within,"24,50794864"
2,gist,0,0,pertinencia,ST_within,"24,39764714"
3,gist,0,0,pertinencia,ST_within,"24,41586137"
4,gist,0,0,pertinencia,ST_within,"24,78250217"
5,gist,0,0,pertinencia,ST_within,"24,38820601"
6,gist,0,0,pertinencia,ST_within,"24,51174021"
7,gist,0,0,pertinencia,ST_within,"24,68963075"
8,gist,0,0,pertinencia,ST_within,"24,42398095"
9,gist,0,0,pertinencia,ST_within,"24,51289272"
10,gist,0,0,pertinencia,ST_within,"24,27616191"
11,gist,0,0,pertinencia,ST_within,"24,33361006"
12,gist,0,0,pertinencia,ST_within,"24,23975253"
13,gist,0,0,pertinencia,ST_within,"24,37613368"
14,gist,0,0,pertinencia,ST_within,"24,42486143"
15,gist,0,0,pertinencia,ST_within,"24,25362539"
16,gist,0,0,pertinencia,ST_within,"24,41218042"
17,gist,0,0,pertinencia,ST_within,"24,27769661"
18,gist,0,0,pertinencia,ST_within,"24,6150322"
19,gist,0,0,pertinencia,ST_within,"24,17089581"
20,gist,0,0,pertinencia,ST_within,"24,40625811"
21,gist,0,0,pertinencia,ST_within,"24,35360217"
22,gist,0,0,pertinencia,ST_within,"24,41149521"
23,gist,0,0,pertinencia,ST_within,"24,1975894"
24,gist,0,0,pertinencia,ST_within,"24,27002907"
25,gist,0,0,pertinencia,ST_within,"24,33772969"
26,gist,0,0,pertinencia,ST_within,"24,22859025"
27,gist,0,0,pertinencia,ST_within,"24,40459847"
28,gist,0,0,pertinencia,ST_within,"24,70098567"
29,gist,0,0,pertinencia,ST_within,"24,45014167"
0,brin,0,0,dist_med_api,0,"78,40627432"
1,brin,0,0,dist_med_api,0,"78,19595408"
2,brin,0,0,dist_med_api,0,"79,30014729"
3,brin,0,0,dist_med_api,0,"78,44761395"
4,brin,0,0,dist_med_api,0,"79,45577407"
5,brin,0,0,dist_med_api,0,"79,12544632"
6,brin,0,0,dist_med_api,0,"77,96453738"
7,brin,0,0,dist_med_api,0,"80,1239481"
8,brin,0,0,dist_med_api,0,"79,31120443"
9,brin,0,0,dist_med_api,0,"79,32437158"
10,brin,0,0,dist_med_api,0,"79,35686731"
11,brin,0,0,dist_med_api,0,"80,53106451"
12,brin,0,0,dist_med_api,0,"77,31798768"
13,brin,0,0,dist_med_api,0,"79,78540874"
14,brin,0,0,dist_med_api,0,"79,2880528"
15,brin,0,0,dist_med_api,0,"78,55398226"
16,brin,0,0,dist_med_api,0,"77,53983498"
17,brin,0,0,dist_med_api,0,"79,78371906"
18,brin,0,0,dist_med_api,0,"79,65490055"
19,brin,0,0,dist_med_api,0,"81,69497943"
20,brin,0,0,dist_med_api,0,"77,66659403"
21,brin,0,0,dist_med_api,0,"79,48911953"
22,brin,0,0,dist_med_api,0,"79,70238376"
23,brin,0,0,dist_med_api,0,"77,44225478"
24,brin,0,0,dist_med_api,0,"79,42214441"
25,brin,0,0,dist_med_api,0,"78,26910472"
26,brin,0,0,dist_med_api,0,"79,40562987"
27,brin,0,0,dist_med_api,0,"79,41872978"
28,brin,0,0,dist_med_api,0,"79,867764"
29,brin,0,0,dist_med_api,0,"80,26297736"
0,brin,0,0,dist_max_pt_med,0,"80,60748315"
1,brin,0,0,dist_max_pt_med,0,"81,91523409"
2,brin,0,0,dist_max_pt_med,0,"82,85157347"
3,brin,0,0,dist_max_pt_med,0,"82,1828537"
4,brin,0,0,dist_max_pt_med,0,"82,49382019"
5,brin,0,0,dist_max_pt_med,0,"80,89283895"
6,brin,0,0,dist_max_pt_med,0,"83,39507914"
7,brin,0,0,dist_max_pt_med,0,"82,06741381"
8,brin,0,0,dist_max_pt_med,0,"82,95745897"
9,brin,0,0,dist_max_pt_med,0,"82,17920041"
10,brin,0,0,dist_max_pt_med,0,"82,99061775"
11,brin,0,0,dist_max_pt_med,0,"80,72103763"
12,brin,0,0,dist_max_pt_med,0,"83,02030277"
13,brin,0,0,dist_max_pt_med,0,"82,25520515"
14,brin,0,0,dist_max_pt_med,0,"82,57491755"
15,brin,0,0,dist_max_pt_med,0,"82,97822309"
16,brin,0,0,dist_max_pt_med,0,"81,37355423"
17,brin,0,0,dist_max_pt_med,0,"80,34688306"
18,brin,0,0,dist_max_pt_med,0,"81,62799525"
19,brin,0,0,dist_max_pt_med,0,"80,57492304"
20,brin,0,0,dist_max_pt_med,0,"82,14477253"
21,brin,0,0,dist_max_pt_med,0,"80,40562201"
22,brin,0,0,dist_max_pt_med,0,"82,9355247"
23,brin,0,0,dist_max_pt_med,0,"80,7115016"
24,brin,0,0,dist_max_pt_med,0,"83,45380497"
25,brin,0,0,dist_max_pt_med,0,"82,2630136"
26,brin,0,0,dist_max_pt_med,0,"83,0708468"
27,brin,0,0,dist_max_pt_med,0,"81,81556726"
28,brin,0,0,dist_max_pt_med,0,"80,39179349"
29,brin,0,0,dist_max_pt_med,0,"82,92754078"
0,brin,0,0,dist_max_api,0,"76,77330589"
1,brin,0,0,dist_max_api,0,"78,16238189"
